Candidate_ID,SMILES,CAS,Prior_use_status,Oxidation_potential_V,Donor_number_kcal_mol,ESPmin_eV,ESPmax_eV,ESPratio,Melting_point_or_state_C,Boiling_point_C,Commercial_package,Listed_price_as_recorded,Solubility_or_note,Purchased,Electrochemical_performance_data,Experimental_status
CAND-031,CC(CBr)C#N,53744-77-7,Previously unexplored,4.3,12.4,-1.9794,1.609,1.2302,,,100 mg,2711.0,Supplier note: Bide Pharmatech,No,No,Not purchased or tested
CAND-032,CC(C(C#N)Br)Br,25109-76-6,Previously unexplored,4.0,13.6,-1.8971,1.8047,1.0512,Crystalline solid,,10 g,5282.0,Nearly insoluble in water; soluble in organic solvents,No,No,Not purchased or tested
CAND-033,C(CCCC#N)CCC#N,629-40-3,Previously unexplored,4.2,17.0,-1.9862,1.6108,1.233,Liquid,185,100 mL,242.0,Insoluble in water; soluble in most organic solvents,No,No,Not purchased or tested
CAND-034,CC(C)(C#N)I,19481-79-9,Previously unexplored,4.2,14.0,-1.9907,1.5431,1.29,Liquid,,1 g,690.0,Insoluble in water; soluble in most organic solvents,No,No,Not purchased or tested
CAND-035,CC([CH2])C#N,78-82-0,Previously reported,4.1,16.0,-2.016,1.4716,1.3699,Liquid,,2.5 L,680.0,Poorly soluble in water; soluble in common organic solvents such as alcohols and ethers,No,No,Not purchased or tested
CAND-036,CCC(C#N)Br,41929-78-6,Previously unexplored,4.2,15.0,-1.9899,1.6558,1.2018,,,50 mg,1066.0,Supplier note: Bide Pharmatech,Yes,No,Purchased; no electrochemical performance data
CAND-037,CC(C)(C#N)Br,41658-69-9,Previously unexplored,4.3,13.2,-1.9637,1.5294,1.284,Liquid,,250 mg,489.0,Soluble in polar solvents such as alcohols and ethers; insoluble in nonpolar solvents,No,No,Not purchased or tested
CAND-038,CC(C)(C)C(C#N)C#N,4210-60-0,Previously unexplored,4.0,23.3,-1.9926,1.6549,1.2041,Liquid,,1 g,26.0,Soluble in water and organic solvents,Yes,Yes,Co-solvent tested
CAND-039,C(CC#N)CF,407-83-0,Previously unexplored,4.3,12.4,-1.942,1.773,1.0953,,,100 mg,1603.0,Supplier note: Bide Pharmatech,No,No,Not purchased or tested
CAND-040,CCC(C)(C#N)Cl,408319-68-6,Previously unexplored,4.0,13.4,-1.9157,1.6219,1.1811,,,50 mg,928.0,Supplier note: Bide Pharmatech,No,No,Not purchased or tested
CAND-041,CC(C)(CS(=O)(=O)Cl)C#N,1432681-16-7,Previously unexplored,4.3,17.1,-1.7913,1.8663,0.9598,,,100 mg,2870.0,Supplier note: Bide Pharmatech,No,No,Not purchased or tested
CAND-042,COC(=O)[N],598-55-0,Previously reported,4.1,17.8,-1.7968,1.7888,1.0045,White crystalline solid,,500 g,63.0,Highly soluble in water; also soluble in common organic solvents,No,No,Not purchased or tested
CAND-043,CCCCC(C#N)C#N,7391-58-4,Previously unexplored,4.0,16.9,-1.9749,1.7151,1.1515,Liquid,,1 g,2701.0,Soluble in many organic solvents,No,No,Not purchased or tested
CAND-044,C(CCC#N)CCC#N,646-20-8,Previously unexplored,4.3,17.6,-1.9208,1.7103,1.1231,Liquid,,500 mL,1911.0,"Soluble in ethanol, chloroform, and water",Yes,Yes,Additive tested
CAND-045,C(C(C#N)Br)Br,4554-16-9,Previously unexplored,4.5,11.0,-1.8546,1.8434,1.0061,,,25 g,1926.0,,No,No,Not purchased or tested
CAND-046,C(CC#N)C[Si](Cl)(Cl)Cl,1071-27-8,Previously unexplored,4.2,13.2,-1.685,1.7599,0.9574,Liquid,,25 g,717.0,,Yes,No,Purchased; no electrochemical performance data
CAND-047,CSC#N,556-64-9,Previously reported,4.0,20.0,-1.8896,1.7882,1.0567,Liquid,,25 mL,241.0,"Soluble in organic solvents such as ethanol, ether, and benzene",No,No,Not purchased or tested
CAND-048,C(CC#N)CC#N,544-13-8,Previously reported,4.7,17.5,-1.8069,1.9681,0.9181,Liquid,,25 g,244.0,Good solubility in many organic solvents,No,No,Not purchased or tested
CAND-049,CCCC#N,109-74-0,Previously reported,4.4,15.7,-2.0499,1.4394,1.4241,Liquid,,500 mL,448.0,Miscible with water; soluble in many organic solvents,No,No,Not purchased or tested
CAND-050,COC(=O)[O],7456-87-3,Previously reported,4.2,13.0,-1.7493,1.8717,0.9346,,,,,Supplier note: Yangxin Pharma,No,No,Not purchased or tested
CAND-051,CCC(C#N)C#N,3696-37-5,Previously unexplored,4.6,16.7,-1.9338,1.8643,1.0373,,,100 mg,1193.0,Supplier note: Bide Pharmatech,No,No,Not purchased or tested
